userId,itemId,session_duration
1005829299685984449-1,GGOEYFKQ020699,58012
1005829299685984449-1,GGOEGGCX056299,787
102703605492733588-2,GGOEGBRJ037399,3212
102703605492733588-3,GGOEGBRJ037299,1975
102703605492733588-3,GGOEGBRJ037399,1
103905010654987355-1,GGOEWCKQ085457,0
1059770176518504832-1,GGOEAHPA004110,7
1059770176518504832-1,GGOEGAAX0104,1
1059770176518504832-1,GGOEGBRA037499,2720
1059770176518504832-1,GGOEGAAX0596,2108
1094931637794753476-1,GGOEGBMJ013399,1
110153724611725846-1,GGOEGAAX0318,0
1113086722612802174-1,GGOEGAAX0795,0
1124739547028739470-1,GGOEYOCR077799,111400
1144453422620721054-1,GGOEGOCC077299,0
1148645885957423322-1,GGOEGBRA037499,2
11577526465501235-2,GGOEGAAX0341,1
11577526465501235-2,GGOEGPJC203399,1
11577526465501235-2,GGOEGOLC013299,0
11577526465501235-2,GGOEGCNB021099,1951
11577526465501235-2,GGOEGAAX0037,1
1181536979112804688-1,GGOEGXXX0806,202
1197204234107154844-2,GGOEGFKA022299,2034
1197204234107154844-2,GGOEYFKQ020699,5568
1197204234107154844-2,GGOEGFKQ020399,3411
1215126832177216624-1,GGOEGCBB074399,3263
1223589533016589079-1,GGOEGAAX0671,3103
1223589533016589079-1,GGOEGAAX0651,827
1223865090611201115-1,GGOEGAAX0795,4338
1223865090611201115-1,GGOEGBRJ037299,0
1255368394012652243-4,GGOEGAAX0578,5811
1258915143892750458-1,GGOEGXXX0806,8591
126459781793436795-1,GGOEGEVA022399,12556
126612099954375841-6,GGOEGBJL013999,0
126612099954375841-6,GGOEGETB023799,0
126612099954375841-6,GGOEGOAB021499,5047
126612099954375841-6,GGOEGHPJ080310,4826
126612099954375841-6,GGOEGAAX0781,15099
126612099954375841-6,GGOEGAAX0107,10540
126612099954375841-6,GGOEGAAX0280,1
1281234459613429134-2,GGOEGAAX0318,3553
1295831428300004252-3,GGOEADHH073999,0
1311003026247678016-2,GGOEGOLC013299,7220
1350128776428351822-1,GGOEGBPB082099,35676
1350128776428351822-1,GGOEGBRA037499,0
1369634446381193537-1,GGOEGAAX0318,11654
138058039294367332-3,GGOEADWQ015699,0
1386018753537268331-1,GGOEGFKA022299,9172
1386018753537268331-1,GGOEGCBB074399,45162
1386018753537268331-1,GGOEGAAX0037,5198
140515510840599351-2,GGOEGAAX0290,12933
140515510840599351-2,GGOEYHPB072210,1357
140515510840599351-2,GGOEGOCC077299,0
1445829272389489293-3,GGOEGAAX0358,2285
1445829272389489293-3,GGOEAXXX0808,25911
1485560096715159088-1,GGOEGFKQ020799,1
1485560096715159088-1,GGOEAFKQ020499,1542
1485560096715159088-4,GGOEGAAX0352,0
1487642479039977302-1,GGOEGEVB070599,0
1487642479039977302-1,GGOEAKDH019899,1174
1513574659863671308-1,GGOEYFKQ020699,0
1580431283728289185-2,GGOEGDHQ015399,5370
1589021726696497303-3,GGOEADHH055999,1
1589021726696497303-3,GGOEGAAX0074,24934
1589021726696497303-3,GGOEGAAX0081,2
1589021726696497303-3,GGOEAFKQ020499,10064
1589021726696497303-3,GGOEGFKQ020399,3089
1589021726696497303-3,GGOEGAAX0338,0
1589021726696497303-3,GGOEGAAX0323,9297
1589021726696497303-3,GGOEGAAX0326,11821
1589021726696497303-3,GGOEGFKQ020799,3691
1589021726696497303-3,GGOEGODR017799,4786
1589021726696497303-3,GGOEACCQ017299,26048
1589021726696497303-3,GGOEGEVA022399,83988
1589021726696497303-3,GGOEGAAX0341,1227
1589021726696497303-3,GGOEGAAX0304,1
1589021726696497303-3,GGOEGAAX0366,2534
1589021726696497303-3,GGOEGFKA022299,1499
1589021726696497303-3,GGOEAFKQ020599,0
1625348761598975970-4,GGOEGEVA022399,0
1627674454679945564-1,GGOEGDHQ015399,1440
1627674454679945564-1,GGOEGAAX0037,1497
1628879492829362179-3,GGOEGBRA037499,10316
1628879492829362179-3,GGOEGFKQ020799,1501
1633146081774573328-2,GGOEGOAQ018099,1
1633146081774573328-2,GGOEGOAR013099,0
1633146081774573328-3,GGOEGAAX0682,254180
1633146081774573328-3,GGOEGBRA037499,7368
167247604162700002-3,GGOEGAAX0569,2189
167247604162700002-3,GGOEGAAX0596,0
1687795423322054080-1,GGOEGFKA022299,1
1687795423322054080-1,GGOEGFKQ020799,3627
1687795423322054080-1,GGOEYFKQ020699,2741
1743714919834975806-1,GGOEGBRA037499,3390
1765857025931877948-1,GGOEGOCB017499,6655
1765857025931877948-1,GGOEAOCB077499,0
1765857025931877948-1,GGOEGOCL077699,2
1792126295682358590-1,GGOEGFKA022299,3660
1799598136919764397-1,GGOEGAAX0037,0
1825841980801408928-1,GGOEACCQ017299,0
184583714566893994-1,GGOEGBRA037499,35174
1850206187599338645-1,GGOEGOAB022499,59620
1850206187599338645-1,GGOEGOAB021499,4
1868979439923677894-3,GGOEGAAX0338,52797
1868979439923677894-3,GGOEGAAX0358,0
1868979439923677894-3,GGOEAXXX0808,895003
1868979439923677894-3,GGOEWAEA083899,3132
1868979439923677894-4,GGOEWAEA083899,0
188308435688462855-7,GGOEGAAX0671,37608
188308435688462855-7,GGOEGAAX0358,1618
188308435688462855-7,GGOEGXXX0806,0
188308435688462855-7,GGOEGESB015199,3442
188308435688462855-7,GGOEGFKA022299,4136
1894130606995361644-1,GGOEGAAX0104,0
1897693758416082368-1,GGOEGAAX0304,3532
1904044281872619820-2,GGOEGEVA022399,0
192314861414750236-1,GGOEYHPB072210,0
1933634293342529288-1,GGOEGAAX0306,7362
1933634293342529288-1,GGOEGCMB020932,0
1933634293342529288-1,GGOEGOCC077299,2985
1933634293342529288-1,GGOEAOCB077499,7118
1933634293342529288-1,GGOEGOLC014299,0
1933634293342529288-1,GGOEGOCD078399,3022
1933634293342529288-1,GGOEGOCR078499,43830
1933634293342529288-1,GGOEGOBG023599,1446
1933634293342529288-1,GGOEGDHQ015399,0
1933634293342529288-1,GGOEGAAX0278,0
1969572238026427771-1,GGOEGAAX0607,1
1969572238026427771-1,GGOEGAAX0361,2737
1996186587769697436-3,GGOEGFSR022099,0
1996186587769697436-3,GGOEGAAX0037,0
1996186587769697436-3,GGOEGBJC014399,0
2008785002910996057-2,GGOEGAAX0680,1
2008785002910996057-2,GGOEGAAX0569,8062
2008785002910996057-2,GGOEAFKQ020499,0
2008785002910996057-2,GGOEGDHQ015399,4087
2020765393756185156-5,GGOEGAAX0602,5682
2020765393756185156-5,GGOEGAAX0364,5685
2020765393756185156-5,GGOEGAAX0366,0
203746675575323546-1,GGOEGESB015099,1
203746675575323546-1,GGOEGESB015199,16066
203746675575323546-1,GGOEGDWR015799,1318
203746675575323546-1,GGOEGDHR082199,0
203746675575323546-1,GGOEGDHQ015399,0
2054328967059540069-1,GGOEGAAX0074,10032
2054328967059540069-1,GGOEGAAX0081,29536
2054328967059540069-1,GGOEYFKQ020699,4830
2054328967059540069-1,GGOEGBRA037499,2069
2054328967059540069-1,GGOEYDHJ056099,4315
2054328967059540069-1,GGOEYOCR077799,4156
2169837842795965197-8,GGOEGFAQ016699,49832
2169837842795965197-8,GGOEGAAX0074,6962
2183769803946700458-1,GGOEGFKQ020399,4160
2200502804815616939-1,GGOEGAAX0318,1198
2211136004038546286-2,GGOEGBRA037499,433617
2211136004038546286-2,GGOEGBRB013899,2012
2211136004038546286-2,GGOEGBRJ037299,1563
2230459363222130999-1,GGOEGBRA037499,0
2238427794408940307-1,GGOEAFKQ020599,0
2284555599203977570-2,GGOEGAAX0342,4469
2284555599203977570-2,GGOEGEVA022399,2323
232377434237234751-160,GGOEYFKQ020699,0
232377434237234751-160,GGOEAFKQ020499,3379
232377434237234751-160,GGOEAFKQ020599,232628
232377434237234751-160,GGOEGFKQ020799,0
2356328520822545622-6,GGOEGKAA019299,0
2379859623266786468-1,GGOEGAAX0353,10088
2380151902002144519-1,GGOEGOCB017499,5830
2384575288962758158-1,GGOEGAAX0682,33577
2384575288962758158-1,GGOEGAAX0329,6625
2384575288962758158-1,GGOEGAAX0320,0
241048761582607706-1,GGOEAKDH019899,0
2419083783587438310-19,GGOEGOCC077999,1
2419083783587438310-19,GGOEGOLC013299,0
2419083783587438310-19,GGOEGOCC077299,1886
24507252193437459-2,GGOEGFKQ020799,11192
2510170651126670568-1,GGOEGAAX0731,0
2516702271461747537-1,GGOEAXXX0808,1
255282465269917452-1,GGOEGAAX0104,16271
2570612937804014178-2,GGOEGBRB013899,3870
2578084515369430211-2,GGOEGDHC015299,5155
2608714709593599798-1,GGOEYFKQ020699,1404
2608714709593599798-1,GGOEYDHJ056099,0
261035563475309159-1,GGOEGAAX0318,5745
2662180751707142455-1,GGOEGAAX0607,0
2666111902144758507-5,GGOEGDHC074099,0
2666111902144758507-6,GGOEGBMJ013399,1996
2666111902144758507-6,GGOEGBJL013999,0
2666111902144758507-7,GGOEGGCX056299,7126
267496141615033562-1,GGOEGBFC018799,72226
267496141615033562-1,GGOEGBPB082099,0
2682723022140584110-1,GGOEGAAX0325,0
2690284560375650313-1,GGOEGBRJ037399,0
2699100691075242575-1,GGOEYFKQ020699,368
270393945425133079-1,GGOEGBRJ037299,4097
270393945425133079-1,GGOEGBRJ037399,2807
2725696087969671053-1,GGOEYDHJ056099,1
2734804504238901538-1,GGOEGAAX0351,1205
2827498353821012092-1,GGOEGAAX0651,21668
2827498353821012092-1,GGOEGAAX0680,0
2838389775426883646-1,GGOEGEVA022399,1
284438731288817902-1,GGOEGDHQ015399,10042
284438731288817902-2,GGOEGDHQ015399,2339
2863022817351466072-1,GGOEYFKQ020699,0
2865117450599304911-1,GGOEYDHJ056099,112
2880164379954827168-1,GGOEGDWR015799,3886
2886144098855378647-4,GGOEGAAX0104,8570
2976099200710770058-1,GGOEGAAX0651,0
2981325201816358942-8,GGOEGAAX0341,0
2997546588767717972-1,GGOEGAAX0671,2
3077728344368815014-1,GGOEYFKQ020699,0
3077728344368815014-2,GGOEYFKQ020699,0
3082283603465989940-1,GGOEGAAX0358,0
3098698308947338506-1,GGOEGEVB070599,0
3101662058536674321-1,GGOEGBMJ013399,10864
3101662058536674321-1,GGOEGCMB020932,11906
3101662058536674321-1,GGOEGBPB021199,4369
3101662058536674321-1,GGOEGBJC014399,19419
3101662058536674321-1,GGOEGHPL003214,8849
3101662058536674321-1,GGOEGAAX0761,2485
3101662058536674321-1,GGOEGAAX0338,1
3101662058536674321-1,GGOEGBCR024399,8491
3185267375068033750-1,GGOEGOAB021499,2408
3188213086470041425-1,GGOEYHPB072210,1
3223204375135993191-1,GGOEADHH073999,6217
3225678380873744420-1,GGOEGBJC014399,5173
3239591421883808376-2,GGOEGDHC074099,0
3289637780548369455-1,GGOEGEVA022399,5699
330845037859170481-2,GGOEGEHQ071199,0
335855435126300366-1,GGOEGCBC074299,0
335855435126300366-1,GGOEGFKA022299,0
335855435126300366-2,GGOEGFKA022299,1419
335855435126300366-2,GGOEGCBB074199,2908
335855435126300366-2,GGOEGCBB074399,0
3424918216070852195-4,GGOEGEVA022399,2098
3424918216070852195-4,GGOEGFKQ020799,0
3466329311470244552-8,GGOEADHH055999,147395
3466329311470244552-8,GGOEGDHC015299,1
3487777878571499424-1,GGOEGAAX0325,0
34988253365419131-1,GGOEGBRB013899,11630
34988253365419131-1,GGOEGBRJ037399,0
351681171177883933-26,GGOEAKDH019899,5791
351681171177883933-26,GGOEGOFH020299,4422
351681171177883933-26,GGOEACCQ017299,3770
351681171177883933-26,GGOEGAAX0579,8091
3528985319474154621-1,GGOEGBJC019999,15588
3544203224003923047-1,GGOEGOAQ018099,0
355470769779418447-3,GGOEGAAX0690,18024
355470769779418447-3,GGOEGAAX0682,23497
355470769779418447-3,GGOEGAAX0671,24116
3602581120186705822-6,GGOEGDWR015799,0
