fullVisitorId,visitNumber,action_type,productSKU,time,hitNumber
0004915997121163857,1,0,GGOEYFKQ020699,0,1
0004915997121163857,1,0,GGOEYDHJ056099,0,1
0004915997121163857,1,0,GGOEYHPB072210,0,1
0004915997121163857,1,0,GGOEYOCR077799,0,1
0004915997121163857,1,0,GGOEGAAX0351,0,1
0004915997121163857,1,0,GGOEGAAX0356,0,1
0004915997121163857,1,0,GGOEGAAX0325,0,1
0004915997121163857,1,0,GGOEGAAX0318,0,1
0004915997121163857,1,0,GGOEGAAX0330,0,1
0004915997121163857,1,0,GGOEGAAX0290,0,1
0004915997121163857,1,0,GGOEGAAX0296,0,1
0004915997121163857,1,0,GGOEGAAX0661,0,1
0013182148727187801,1,0,GGOEGFKQ020399,24780,2
0013182148727187801,1,0,GGOEGFKQ020799,24780,2
0013182148727187801,1,0,GGOEGBRJ037399,24780,2
0013182148727187801,1,0,GGOEGBRA037499,24780,2
0013182148727187801,1,0,GGOEGHPB003410,24780,2
0013182148727187801,1,0,GGOEGAAX0104,24780,2
0013182148727187801,1,0,GGOEGCBB074199,24780,2
0013182148727187801,1,0,GGOEGCBC074299,24780,2
0013182148727187801,1,0,GGOEGDHC074099,24780,2
0013182148727187801,1,0,GGOEGHPB071610,24780,2
0013182148727187801,1,0,GGOEGEVB070599,24780,2
0013182148727187801,1,0,GGOEGCVB072399,24780,2
0013182148727187801,1,0,9182765,128233,7
0013182148727187801,1,0,9180793,128233,7
0015547161740087073,2,0,9182739,0,1
0015547161740087073,2,0,9183118,0,1
0015547161740087073,2,0,9180905,0,1
0018642067897203467,1,0,GGOEYFKQ020699,0,1
0018642067897203467,1,0,GGOEYDHJ056099,0,1
0018642067897203467,1,0,GGOEYHPB072210,0,1
0018642067897203467,1,0,GGOEYOCR077799,0,1
0018642067897203467,1,0,GGOEGAAX0351,0,1
0018642067897203467,1,0,GGOEGAAX0356,0,1
0018642067897203467,1,0,GGOEGAAX0325,0,1
0018642067897203467,1,0,GGOEGAAX0318,0,1
