fullVisitorId,visitNumber,action_type,productSKU,time,hitNumber
0049931492016965831,1,1,GGOEGEVA022399,96360,6
0049931492016965831,1,2,GGOEGEVA022399,96361,7
0049931492016965831,1,1,GGOEGEVA022399,106182,8
0052381813974609729,1,1,GGOEAOCB077499,230757,10
0052381813974609729,1,2,GGOEAOCB077499,230757,11
0052381813974609729,1,1,GGOEGOCC077299,245049,12
0052381813974609729,1,2,GGOEGOCC077299,245051,13
0052381813974609729,1,1,GGOEAOCB077499,249796,14
0052381813974609729,1,1,GGOEGOCB017499,281953,17
0052381813974609729,1,2,GGOEGOCB017499,281992,18
0052381813974609729,1,1,GGOEGOCB017499,288923,19
0067546692352203203,1,3,GGOEGOAQ012899,59961,2
008016723867009901,1,1,GGOEGBPB021199,35790,4
008016723867009901,1,2,GGOEGBPB021199,35791,5
008016723867009901,1,1,GGOEGBPB021199,37083,6
008016723867009901,1,1,GGOEGBJL013999,80917,9
008016723867009901,1,2,GGOEGBJL013999,80918,10
008016723867009901,1,1,GGOEGBJL013999,82337,11
008016723867009901,1,1,GGOEGESC014099,162976,17
008016723867009901,1,2,GGOEGESC014099,162976,16
008016723867009901,1,1,GGOEGESC014099,164298,18
008016723867009901,1,2,GGOEACCQ017299,201005,21
008016723867009901,1,1,GGOEACCQ017299,201005,22
008016723867009901,1,1,GGOEACCQ017299,202530,23
008016723867009901,1,1,GGOEGDHC074099,583430,32
008016723867009901,1,2,GGOEGDHC074099,583431,33
008016723867009901,1,1,GGOEGDHC074099,584825,34
008016723867009901,1,1,GGOEGESB015099,620343,37
008016723867009901,1,2,GGOEGESB015099,620344,38
008016723867009901,1,1,GGOEGESB015099,621832,39
008016723867009901,1,2,GGOEGCKQ013199,1247483,48
008016723867009901,1,1,GGOEGCKQ013199,1247484,49
008016723867009901,1,1,GGOEGCKQ013199,1248799,50
0082784177006211656,4,2,GGOEGKWQ060910,85870,6
0082784177006211656,4,1,GGOEGKWQ060910,85870,5
0082784177006211656,4,3,GGOEGKWQ060910,91379,7
0082784177006211656,4,2,GGOEGKWR060810,322491,15
0082784177006211656,4,1,GGOEGKWR060810,322491,14
0082784177006211656,4,3,GGOEGKWR060810,324273,16
0082784177006211656,4,1,GGOEGAAX0610,441737,21
0082784177006211656,4,2,GGOEGAAX0610,441737,20
0082784177006211656,4,3,GGOEGAAX0610,453840,22
0082784177006211656,4,4,GGOEGKWQ060910,539378,29
0082784177006211656,4,1,GGOEGAAX0617,566225,33
0082784177006211656,4,2,GGOEGAAX0617,566225,34
0082784177006211656,4,3,GGOEGAAX0617,574863,35
0082784177006211656,4,4,GGOEAAWT061748,616256,37
008974926326637231,1,1,GGOEGAAX0325,165838,2
008974926326637231,1,2,GGOEGAAX0325,165838,3
